 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor médio intern por Região/Unidade da Federação e Ano/mês atendimento
Período:Jan/2008-Abr/2021
"Região/Unidade da Federação";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"Total"
".. Santa Catarina";...;508,49;...;...;...;29123,45;950,48;905,95;1298,06;1414,17;1291,06;1002,75;1769,58;841,39;866,71;882,89;894,23;897,38;912,19;936,43;950,79;961,14;1022,27;1043,50;1046,05;1040,68;1020,58;1070,21;1027,32;1072,10;1108,96;1054,65;1108,25;1092,71;1105,51;1148,40;1100,85;1122,42;1101,38;1140,44;1141,15;1158,51;1162,15;1170,03;1165,25;1195,80;1195,22;1146,80;1199,53;1172,98;1169,86;1176,11;1207,69;1232,28;1226,83;1232,38;1223,05;1213,65;1200,10;1197,83;1222,78;1228,30;1208,17;1258,95;1217,78;1238,84;1268,77;1291,37;1277,37;1250,13;1289,41;1297,85;1356,59;1335,26;1323,67;1360,78;1383,20;1389,97;1402,43;1382,41;1406,43;1401,48;1423,48;1378,80;1383,37;1385,01;1421,27;1400,88;1387,69;1433,56;1452,04;1464,09;1445,43;1407,31;1419,85;1459,94;1458,77;1378,63;1399,81;1411,00;1403,00;1415,38;1428,19;1408,53;1431,47;1440,01;1441,86;1392,46;1427,35;1388,65;1415,38;1405,39;1445,30;1500,26;1618,91;1425,29;1443,54;1442,78;1420,05;1435,48;1447,50;1447,38;1427,43;1440,03;1382,88;1422,65;1426,67;1440,81;1427,75;1399,93;1428,00;1426,88;1467,62;1400,98;1429,42;1461,30;1455,39;1466,43;1433,38;1471,76;1480,46;1490,02;1507,99;1434,00;1454,14;1488,50;1495,51;1459,34;1458,41;1473,88;1497,87;1505,09;1537,12;1493,90;1498,66;1494,67;1536,95;1499,27;1512,64;1782,17;1878,78;1897,75;2276,47;2241,63;1885,02;1823,95;2050,58;2134,44;1930,37;2012,47;1912,73;1398,99;1374,11
".. Rio Grande do Sul";...;...;...;...;...;2923,60;5311,39;4180,29;2524,12;1746,75;1640,22;1083,30;866,82;838,53;859,08;867,80;874,35;882,93;873,22;918,07;934,82;957,41;982,38;1004,60;1041,38;999,86;1025,03;1036,76;1042,26;1029,85;1035,22;1059,29;1069,76;1072,48;1055,88;1067,80;1097,27;1053,34;1077,61;1102,34;1105,22;1112,86;1110,92;1106,82;1089,37;1105,12;1139,53;1122,11;1123,67;1136,66;1122,58;1140,85;1156,13;1157,90;1158,97;1197,84;1184,18;1191,93;1170,85;1171,17;1177,13;1168,36;1170,71;1174,46;1185,09;1210,79;1181,99;1213,34;1203,01;1239,19;1219,05;1291,36;1295,60;1275,95;1276,56;1318,36;1340,72;1301,63;1301,59;1316,80;1320,06;1318,09;1356,60;1354,39;1318,85;1304,06;1323,27;1340,85;1336,24;1348,96;1336,76;1366,48;1382,17;1388,93;1387,79;1371,44;1366,43;1348,46;1375,13;1341,02;1397,74;1379,89;1394,07;1404,57;1411,18;1403,08;1401,28;1377,46;1405,07;1378,08;1384,05;1366,18;1401,90;1407,28;1405,49;1396,94;1401,60;1388,44;1386,59;1408,51;1425,38;1400,28;1378,91;1389,60;1396,18;1400,71;1425,42;1409,65;1435,10;1457,99;1416,49;1438,91;1468,72;1430,93;1425,88;1430,01;1442,61;1446,88;1413,07;1453,14;1460,56;1496,61;1501,30;1456,86;1480,82;1512,72;1486,56;1439,82;1451,94;1457,55;1488,55;1452,51;1467,31;1457,16;1474,05;1491,31;1506,50;1471,53;1492,86;1717,53;1738,69;1845,36;2046,79;2081,18;1989,97;1941,47;1983,86;2126,97;1928,29;2162,66;2378,63;1523,87;1322,15
"Região Centro-Oeste";654,47;392,62;457,97;...;554,69;6952,62;3724,25;1041,82;1087,32;918,52;777,81;661,68;1417,17;650,18;649,99;647,92;676,60;719,59;706,36;694,08;691,95;730,64;784,81;795,41;785,25;792,31;755,25;773,32;799,72;850,10;829,21;843,57;828,15;849,38;822,10;832,09;804,15;787,98;795,99;801,09;905,65;877,72;877,67;854,89;844,44;861,60;866,44;856,68;868,59;873,41;885,50;883,30;911,24;936,86;933,26;934,93;929,13;954,80;920,69;916,63;951,87;923,82;935,61;932,96;940,66;957,61;978,38;973,13;965,43;986,51;1009,93;985,47;976,59;973,98;965,45;989,05;996,28;1015,14;1006,22;1043,52;1038,81;1045,04;1041,58;1025,48;1047,18;1032,67;1019,36;1030,66;1048,59;1062,06;1077,19;1058,29;1052,64;1055,47;1100,28;1084,22;1058,06;1062,50;1092,37;1043,27;1048,94;1092,60;1143,26;1122,65;1131,99;1126,99;1116,45;1121,87;1125,83;1113,32;1090,72;1070,51;1101,14;1149,88;1135,04;1136,27;1116,05;1144,05;1154,10;1136,53;1166,15;1095,24;1100,72;1087,79;1125,87;1135,40;1163,74;1169,04;1135,04;1150,24;1144,70;1141,22;1150,00;1164,47;1124,37;1114,91;1144,85;1162,39;1176,14;1177,47;1149,15;1184,17;1167,55;1161,01;1141,92;1136,62;1108,38;1093,73;1122,29;1140,02;1156,90;1177,16;1148,09;1147,88;1183,24;1165,97;1166,05;1140,32;1165,14;1260,31;1392,32;1570,44;1705,12;1649,11;1572,57;1520,94;1468,39;1556,57;1466,34;1570,23;1970,68;1674,85;1042,76
".. Mato Grosso do Sul";...;...;...;...;...;...;810,24;1231,83;1362,65;1121,40;908,05;686,45;677,41;686,39;731,05;685,58;757,67;766,48;747,47;756,96;771,38;810,65;841,24;820,77;822,25;837,63;811,53;835,56;847,49;908,77;871,10;861,98;843,22;884,51;840,48;865,59;867,24;834,67;813,26;845,53;930,05;958,49;907,96;885,46;882,41;945,34;950,59;912,13;893,15;914,92;935,77;925,24;950,55;991,10;993,83;982,18;979,53;979,50;966,51;970,25;989,12;954,92;988,75;962,53;1018,53;976,92;1082,76;1039,04;1019,03;1067,72;1064,19;1047,73;1042,95;1016,72;978,36;1038,13;977,71;1035,58;1028,60;1063,05;1089,52;1081,82;1086,83;1069,29;1109,48;1084,88;1073,86;1028,16;1116,56;1082,45;1115,21;1106,26;1128,80;1098,84;1130,93;1082,15;1141,51;1102,27;1088,67;1060,90;1074,13;1141,92;1210,97;1151,19;1139,82;1151,65;1088,96;1139,42;1157,53;1137,79;1148,89;1122,30;1163,63;1190,48;1213,97;1181,24;1193,28;1162,89;1196,76;1202,68;1241,06;1176,69;1187,64;1133,15;1185,22;1162,28;1193,31;1183,00;1177,88;1175,09;1177,44;1170,55;1178,31;1196,09;1162,80;1174,00;1167,85;1230,39;1190,27;1248,84;1218,35;1225,12;1168,35;1230,60;1206,30;1249,07;1162,95;1173,23;1184,46;1208,53;1228,28;1294,23;1283,91;1267,33;1268,28;1272,79;1225,42;1216,25;1202,76;1462,15;1510,62;1699,11;1932,80;1843,87;1692,58;1662,48;1688,10;1875,31;1623,82;1543,17;1638,52;1559,77;1092,30
".. Mato Grosso";1011,56;116,78;...;...;...;1891,44;762,30;623,16;726,39;949,05;834,74;676,39;588,31;586,44;587,94;606,63;602,40;626,47;646,20;620,58;591,43;639,30;714,22;732,92;723,42;729,55;705,70;695,31;724,23;771,28;789,09;791,98;790,69;801,47;795,75;793,67;783,33;776,71;788,17;800,88;822,33;816,91;827,77;784,25;773,96;796,80;793,98;779,99;787,35;799,62;811,12;801,07;828,62;834,49;859,46;832,15;820,23;851,42;821,00;784,41;803,03;799,45;809,55;809,33;835,02;802,13;839,70;800,80;827,09;818,84;848,92;836,93;853,22;821,01;845,80;809,74;855,58;870,07;842,27;874,17;867,36;896,70;885,98;848,33;878,80;887,28;876,51;886,47;889,93;880,91;929,39;882,28;856,05;916,13;910,34;904,90;936,57;929,41;926,95;911,73;933,37;917,30;977,90;927,90;895,44;947,46;952,77;941,10;958,13;947,17;924,19;915,26;930,82;957,45;970,05;969,74;925,34;951,66;931,23;947,21;978,19;950,55;945,36;975,25;975,63;994,05;1022,26;1022,61;975,34;1023,85;990,53;1010,94;1009,98;1019,95;1006,30;946,32;983,04;1002,44;1003,17;981,80;983,49;1016,49;1022,16;985,32;956,38;961,80;962,39;946,31;982,87;987,26;977,26;984,24;934,07;963,04;963,80;954,47;974,42;967,97;960,31;1041,59;1145,76;1436,74;1513,12;1503,82;1415,11;1399,95;1309,57;1429,92;1296,11;1485,20;1804,82;1384,61;906,07
".. Goiás";287,38;433,27;...;...;...;10772,32;1096,22;602,00;514,84;602,98;652,26;586,37;2389,89;631,04;621,97;617,65;643,34;715,10;696,56;680,48;664,69;704,56;775,07;785,50;741,88;756,30;716,38;724,68;763,83;822,68;780,80;807,41;808,17;835,47;797,91;803,87;755,11;713,84;758,80;766,91;959,79;842,92;867,76;839,51;823,99;831,51;812,80;857,48;854,40;878,42;886,31;895,41;933,82;956,26;942,06;940,25;931,98;985,60;933,43;943,39;990,50;956,99;963,97;969,72;963,83;1026,14;1023,99;1048,36;1001,01;1057,71;1106,86;1094,32;1052,03;1016,33;1013,16;1072,41;1058,54;1077,49;1101,93;1107,27;1109,55;1095,80;1087,94;1093,47;1108,86;1103,75;1046,63;1082,39;1092,01;1135,71;1176,51;1158,07;1165,77;1174,06;1235,80;1194,24;1146,17;1162,72;1176,33;1120,24;1130,01;1174,55;1249,36;1229,14;1241,22;1215,31;1232,11;1251,53;1215,10;1198,40;1186,75;1167,06;1191,86;1282,81;1244,37;1267,78;1235,59;1282,05;1290,04;1281,18;1282,42;1215,03;1233,40;1200,31;1239,56;1231,91;1264,98;1276,01;1223,90;1259,53;1231,94;1262,06;1219,25;1215,10;1194,55;1186,85;1270,39;1270,73;1324,66;1268,91;1242,08;1302,24;1323,64;1314,44;1261,22;1263,51;1232,78;1195,46;1226,28;1253,48;1273,99;1325,41;1268,35;1257,97;1316,16;1263,37;1273,71;1261,82;1314,54;1363,78;1536,97;1620,27;1794,11;1840,52;1824,93;1698,95;1628,13;1641,55;1607,02;1806,90;2374,78;1975,04;1105,41
".. Distrito Federal";661,97;428,43;457,97;...;554,69;554,69;11628,24;4084,07;2740,09;1129,10;802,45;760,08;727,10;718,83;701,49;718,84;745,01;778,44;748,36;738,01;774,47;795,69;817,35;848,16;896,79;880,89;830,87;893,98;904,00;927,93;922,49;950,67;889,31;891,42;880,31;896,91;873,66;912,73;862,61;830,81;861,59;932,72;918,34;925,82;920,55;909,28;971,42;885,17;953,70;895,13;908,96;900,54;910,45;950,78;931,13;981,42;984,19;973,77;954,29;953,79;990,48;951,56;960,35;963,07;937,55;972,94;955,36;953,05;990,19;962,97;957,90;904,35;904,96;1003,65;981,19;966,54;1033,52;1022,98;974,17;1072,92;1024,15;1063,83;1071,67;1035,15;1041,83;999,00;1067,28;1074,92;1064,61;1093,29;1012,35;1000,38;960,20;926,87;1005,93;1048,47;918,29;949,87;1098,27;1009,43;982,93;1063,36;1043,57;1096,76;1164,96;1120,69;1096,53;1054,83;1103,92;1104,74;1035,40;1012,73;1063,86;1080,24;1048,53;1044,16;1036,81;1098,69;1111,02;1034,40;1091,41;973,09;964,08;972,78;1011,40;1093,40;1109,79;1116,67;1108,56;1066,65;1115,08;1036,63;1141,12;1189,63;1091,93;1110,88;1079,19;1088,84;1097,95;1154,51;1097,79;1122,25;1056,80;1023,71;1072,49;1012,51;1011,71;1005,08;1035,89;1046,81;1087,05;1038,90;1053,55;1056,22;1101,67;1105,07;1115,38;1035,88;1087,07;1146,01;1301,20;1512,26;1561,20;1348,93;1236,26;1255,33;1201,49;1301,00;1301,47;1335,32;1732,82;1531,17;1019,72
"Total";1448,46;1655,06;13063,68;5091,27;4789,33;8941,49;3330,17;1300,95;1333,41;1220,53;1118,35;847,77;2303,84;771,09;741,21;733,85;750,29;773,76;793,66;782,54;786,44;826,22;875,62;895,04;948,44;874,74;868,76;890,52;888,98;919,85;908,42;909,16;906,44;918,74;914,70;916,26;975,62;902,63;908,74;945,04;940,40;947,78;950,10;963,69;946,06;972,98;964,72;957,52;989,79;976,02;959,38;969,87;994,96;1007,78;1021,80;1019,52;1011,62;1017,71;999,73;993,87;1050,27;1008,65;1002,44;1010,16;1029,50;1035,51;1053,17;1061,43;1054,48;1101,24;1079,49;1089,84;1161,88;1089,45;1088,16;1105,07;1115,17;1124,26;1140,06;1147,53;1150,51;1169,50;1148,26;1144,93;1181,06;1158,78;1151,98;1141,85;1160,23;1175,70;1191,78;1179,84;1183,16;1182,73;1190,50;1189,02;1195,29;1183,39;1177,44;1162,16;1184,10;1205,13;1220,71;1223,74;1211,29;1222,46;1219,02;1210,84;1222,30;1188,39;1195,30;1186,08;1218,74;1240,91;1267,20;1245,77;1235,70;1255,35;1261,13;1279,00;1275,02;1245,66;1233,90;1230,42;1242,27;1244,26;1273,36;1280,25;1254,89;1273,54;1258,94;1264,27;1267,93;1262,62;1240,01;1244,17;1261,91;1269,29;1280,27;1288,78;1270,61;1302,00;1292,65;1286,04;1296,87;1284,08;1265,57;1252,12;1268,05;1280,23;1323,73;1307,82;1302,32;1302,10;1303,27;1312,43;1327,13;1291,23;1328,81;1530,74;1691,22;1751,40;1811,54;1745,11;1637,26;1580,69;1614,04;1728,01;1697,61;1726,10;1950,47;1583,79;1161,09
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
